,Measured Data,Linear Regression,Support Vector Regression,Decision Tree Regression,Random Forest Regression,Random Forest Regression (standardized data),Gradient Boosting,Extreme Gradient Boosting,Bootstrapping,Neural Networks
0,126.9808449,136.49607832957014,121.04424749898544,125.0542384,124.36673674751403,124.58367616628885,124.92235925491214,124.51518,122.8272864,124.91370033450443
1,189.1626191,167.83675013525811,199.86429003709716,202.0923359,190.83427938365713,190.5994016061108,204.17328990329034,191.07436,189.81383512,201.80535186501845
2,223.3752157,223.83163599743165,212.3915439956445,188.9608539,201.8696872898353,203.29334174017995,209.50893743771542,215.38673,209.65744253999998,194.38544077940273
3,363.9689326,341.51918137734583,339.1458450288394,381.2887169,343.0863999483889,336.3497012288192,354.3846356559666,372.95148,359.68234302,340.47290153550335
4,180.2255091,184.38132650457828,173.1460645033609,170.6889639,178.7864538576424,179.65744055928903,172.12327669465725,174.29756,176.16389608999998,188.90471465505485
5,134.6726199,130.0929801637357,131.11867242658604,122.1005968,131.29742730625435,132.86800066137258,134.49412512113264,132.86232,130.25906894,134.86172986259027
6,159.3825779,167.27965849461143,155.09113096152242,143.3271749,151.70833606901581,154.35764910865683,156.1191969549703,152.32275,147.10730034,159.93316430324768
7,126.9356361,134.88268222391122,129.91228204431434,127.6976974,126.63981969840609,126.16978686412233,128.04796252436847,127.282776,125.32442377,127.75266914284903
8,143.4088019,166.07256337315175,156.35791866107286,167.9471339,157.16420602451012,157.58713013950427,166.23163856220384,152.26733,149.05450195999998,161.75387483456993
9,133.0913584,137.274384205166,135.01688191875616,131.5228642,131.15910926446963,131.08377388127874,132.7671336252369,134.16241,133.08083061,134.75987379011423
10,141.4110334,132.69938949168886,139.50412924014145,135.7563753,138.15640491713958,137.09946373444416,138.19614530241128,139.54305,136.92131817,137.19287717535582
11,165.8541339,207.81800814071343,178.4874789146672,160.8962355,176.04453936050132,176.1861182834895,178.95979781468378,177.26527,164.20853358,187.2851669125914
12,316.2642301,315.96469366410247,298.52268530846857,313.0799399,300.46014721508016,298.4462899907358,304.54097272687034,305.28207,306.23072298,310.4664327221284
13,147.4223387,133.41864381547438,146.53484719184098,144.2275835,145.31484834058017,143.37962588447144,142.15270997029816,142.54633,145.79256146,139.33594214632842
14,140.6929251,155.25713577229038,169.65638093182787,156.8372806,161.0964800493601,160.24968496688322,164.18203388681076,163.65268,158.69525763000001,191.35361651063243
15,117.4817644,130.80748033574076,117.59506628338913,115.0059547,118.81168010200103,120.58808382688851,118.92642622244179,119.084694,116.95633768,125.23097504668591
16,294.891142,175.12064997522316,214.0150847879686,235.1405966,229.02785770986156,230.65405615410768,221.07437401139006,238.71326,234.67400411,204.50876251138376
17,141.4275681,149.83194967432874,148.84692748115043,141.6774723,141.83417505216866,141.40163079301715,141.60579736388797,142.95236,140.9375968,144.13140924501437
18,134.8752223,139.85711835565084,128.11512606821287,121.0790035,125.18539528238594,125.38409979748671,121.37027918790211,125.46201,126.20187216,133.42779056129322
19,141.8183312,127.86030437672277,136.82638533755292,136.6482026,135.37728306458007,135.16545764120218,138.07686337014192,138.01683,138.21315963,132.35200490873078
20,196.2141454,202.33446005160948,184.19514292075638,195.1167855,180.07533660856316,178.5520438352697,182.46389048805815,186.13301,185.03118361,185.7172971847281
